,0,1
1445,2019-10-04 15:31:08," {""date"": ""20191004"", ""time"": ""153011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.60""}"
1446,2019-10-04 15:31:09," {""date"": ""20191004"", ""time"": ""153108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03697511""}"
1448,2019-10-04 16:01:08," {""date"": ""20191004"", ""time"": ""160007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 11.945}"
1449,2019-10-04 16:01:08," {""date"": ""20191004"", ""time"": ""160011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.48""}"
1450,2019-10-04 16:01:08," {""date"": ""20191004"", ""time"": ""160108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.04249608""}"
1452,2019-10-04 16:31:07," {""date"": ""20191004"", ""time"": ""163006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
1453,2019-10-04 16:31:07," {""date"": ""20191004"", ""time"": ""163010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.39""}"
1454,2019-10-04 16:31:07," {""date"": ""20191004"", ""time"": ""163107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03578039""}"
1456,2019-10-04 17:01:06," {""date"": ""20191004"", ""time"": ""170005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1457,2019-10-04 17:01:07," {""date"": ""20191004"", ""time"": ""170009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.23""}"
1458,2019-10-04 17:01:07," {""date"": ""20191004"", ""time"": ""170106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03102005""}"
1460,2019-10-04 17:31:06," {""date"": ""20191004"", ""time"": ""173004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1461,2019-10-04 17:31:06," {""date"": ""20191004"", ""time"": ""173008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.18""}"
1462,2019-10-04 17:31:06," {""date"": ""20191004"", ""time"": ""173106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03447385""}"
